Student ID,Hardness of Skill Tested,Number of Hard Questions,Number of Medium Questions,Number of Easy Questions,Percentage of Hard Questions Correct,Percentage of Medium Questions Correct,Percentage of Easy Questions Correct,Accuracy on Hard Questions,Accuracy on Medium Questions,Accuracy on Easy Questions,Percentage of Time Left on Clock,Total Questions,Weighted Score,Passed
115699.0,2.0,3.0,10.0,19.0,23.85069395,47.85171318,74.68725921,11.39092119,37.36115255,46.67417458,24.03864525,32.0,347.3413768063961,0
587511.0,3.0,3.0,9.0,20.0,33.64447511,54.32750237,74.16035845,8.95014118,29.35562318,36.67310529,18.88778487,32.0,433.30566113594665,0
783590.0,2.0,3.0,6.0,19.0,27.30608354,52.84889316,76.39762229,10.9289506,35.84593238,44.78125517,23.06373314,28.0,401.8255695270791,0
354577.0,2.0,2.0,8.0,18.0,44.7907379,46.12597388,71.8413653,8.247049801,27.04954944,33.79219608,17.40402741,28.0,289.53269811411104,0
915978.0,1.0,1.0,6.0,18.0,26.74809156,52.97112051,74.30839503,13.53651979,44.39851464,55.46574135,28.56657438,25.0,274.56207733818866,0
437587.0,3.0,3.0,5.0,17.0,17.17989557,58.02581198,76.14261879,11.25384588,36.91155842,46.11251003,23.74937061,25.0,702.5048130337585,1
666184.0,2.0,1.0,9.0,16.0,30.26613748,49.34501477,72.01239887,14.23772426,46.6983995,58.33891896,30.04634983,26.0,534.7232930481136,0
278859.0,2.0,1.0,5.0,18.0,46.60455179,56.62110327,71.54624663,15.245718,50.00452438,62.46916226,32.17355302,24.0,668.9460049439497,1
188108.0,3.0,2.0,8.0,15.0,41.55756494,49.00842966,70.73580663,13.92017271,45.6568602,57.03775496,29.37621007,25.0,823.2555814155853,1
646409.0,1.0,3.0,7.0,17.0,31.1918897,44.00307133,75.57793404,14.2166953,46.62942649,58.25275303,30.00197171,27.0,256.5891951656415,0
205458.0,2.0,2.0,7.0,15.0,31.90910173,43.13827629,75.94462747,12.63933623,41.45583674,51.78954153,26.67321764,24.0,511.50977098699514,0
807102.0,2.0,3.0,8.0,17.0,33.72212769,55.20079311,73.87141235,9.584496353,31.43624862,39.27236865,20.22648599,28.0,354.9810033991222,0
707903.0,3.0,2.0,8.0,19.0,11.17912716,46.11187933,72.82506529,8.817682922,28.92117252,36.13035903,18.60825374,29.0,420.99125405415595,0
577353.0,1.0,3.0,10.0,17.0,36.15280649,55.94465266,74.83176714,10.73155415,35.19849054,43.97242538,22.64716075,30.0,189.0108195101896,0
497895.0,1.0,3.0,7.0,18.0,34.33543299,47.61795688,71.45527479,12.40369358,40.68295096,50.82399835,26.175933,28.0,215.03371054767052,0
284348.0,2.0,2.0,6.0,19.0,18.08916183,45.59024439,74.49446611,7.658780699,25.12008198,31.38176989,16.16258328,27.0,268.8608211283074,0
561862.0,2.0,2.0,5.0,19.0,32.25687207,56.72344134,74.52313602,11.61586782,38.0989564,47.59589095,24.51335772,26.0,468.8497857571018,0
883807.0,3.0,3.0,10.0,16.0,26.83700248,49.14968954,74.08862445,11.54640759,37.87113338,47.31127844,24.36677347,29.0,588.0595050720752,0
237506.0,1.0,3.0,6.0,18.0,14.83952117,46.78264907,72.64315548,12.69152038,41.62699587,52.00336553,26.78334362,27.0,220.00848652896698,0
648356.0,2.0,2.0,6.0,17.0,44.7803093,46.29674349,73.00641701,8.070636456,26.47093022,33.06934434,17.03173638,25.0,320.77709395263105,0
708818.0,1.0,1.0,10.0,15.0,27.63040651,53.98960818,71.09174332,8.754668905,28.71449246,35.87215979,18.47527313,26.0,167.7257271908952,0
597739.0,1.0,1.0,7.0,18.0,21.93839333,36.5737353,72.56617237,16.56629428,54.33589065,67.88020908,34.9604097,26.0,281.2104509295744,0
392710.0,3.0,2.0,7.0,19.0,40.15726473,46.09637689,75.86480383,9.867719397,32.36519363,40.43287197,20.82418114,28.0,531.7020083350587,0
651392.0,1.0,2.0,8.0,20.0,42.58400676,51.95792923,72.78368122,8.276257587,27.14534823,33.91187466,17.46566559,30.0,141.6183010568797,0
329788.0,2.0,1.0,5.0,20.0,27.39858241,47.06578385,74.61303044,5.100389048,16.72879745,20.89878817,10.76352307,26.0,191.6770056868571,0
662725.0,1.0,3.0,5.0,16.0,39.67634773,48.8172374,74.67409163,7.584303486,24.87580372,31.07660032,16.00541151,24.0,160.49615789458326,0
623973.0,2.0,1.0,10.0,20.0,33.15978576,51.29146706,75.4315585,9.757424428,32.00343648,39.98093954,20.59142194,31.0,322.01145821864935,0
976948.0,3.0,1.0,8.0,19.0,17.64685554,48.93835999,73.81347133,16.46673353,54.00934072,67.47225998,34.75030328,28.0,849.1778345173086,1
133982.0,2.0,3.0,5.0,18.0,27.72862629,48.85435663,78.07304046,13.99132199,45.89022318,57.32928836,29.5263588,26.0,547.7332689925438,0
871755.0,3.0,1.0,10.0,16.0,46.5711665,50.18257779,74.3791478,15.80720345,51.84614396,64.76984272,33.35847471,27.0,907.3975835974663,1
769269.0,3.0,2.0,7.0,16.0,43.11636044,39.47868548,78.88206135,12.70289856,41.66431524,52.0499875,26.80735538,25.0,756.8761490896378,1
456550.0,3.0,2.0,8.0,17.0,23.67153511,46.72507748,77.53691118,19.00766531,62.34335852,77.88370008,40.11251734,27.0,1046.1301387268072,1
152869.0,2.0,3.0,6.0,19.0,19.18551271,51.77947276,72.90632116,10.25568095,33.63767113,42.02254019,21.6429095,28.0,358.0736885001965,0
